company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,cash_from_operations_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,roce_percentage,roe_percentage,broad_sector,computed_roce,high_leverage_suppressed
AMBUJACEM,Dec 2019,10.267857142857142,16.960596221959857,11.558268959215882,0.0017027992358169283,30.576470588235296,0.6745980387276619,3548.0,1191.0,4739.0,11.0,205.0,14.0,41.0,4.12,11.23,7.78,7.500241380266896,12.8,9.24,Materials,21.55147394170571,False
AMBUJACEM,Dec 2020,12.673356175558819,20.41931799641051,13.65294195192688,0.02069692841762974,37.81428571428572,0.6172516239488394,3515.0,1317.0,4832.0,12.0,205.0,151.0,471.0,4.12,11.23,7.78,8.98118325047818,12.8,9.24,Materials,22.791458584467023,False
AMBUJACEM,Dec 2021,12.812014500258934,21.439668565510097,14.636743709079436,0.01881359943204228,44.26027397260274,0.6407477048999004,3302.0,2007.0,5309.0,14.0,205.0,45.0,477.0,4.12,11.23,7.78,9.363168638079424,12.8,9.24,Materials,25.016453098989587,False
AMBUJACEM,Mar 2023 15,7.766391863779952,13.154583044405063,,,28.55897435897436,,,,,13.0,205.0,19.0,,4.12,11.23,7.78,2.5887972879266505,12.8,9.24,Materials,,False
AMBUJACEM,Mar 2024,14.288299155609169,19.300361881785282,11.428984947896565,0.01686125048243921,28.264492753623188,0.5081135747230352,-3295.0,8941.0,5646.0,16.0,205.0,12.0,699.0,4.12,11.23,7.78,8.741799226076255,12.8,9.24,Materials,18.505515359981022,False
AMBUJACEM,TTM,11.78386605783866,17.72298325722983,,,23.664429530201343,,,,,13.0,205.0,,,4.12,11.23,7.78,3.9279553526128868,12.8,9.24,Materials,,False
APOLLOHOSP,Mar 2013,8.039267710267975,16.23772884054126,11.030214779759739,0.4415726246814707,6.262135922330097,0.7829248026589115,-290.0,733.0,443.0,22.0,522.0,25.0,1213.0,14.66,36.13,29.95,6.617469097562208,17.2,13.81,Healthcare,16.28787878787879,False
APOLLOHOSP,Mar 2014,7.229745237548772,15.515262795501492,10.581121934833725,0.4514612025529056,5.831932773109243,0.814392523364486,17.0,356.0,373.0,23.0,522.0,25.0,1344.0,14.66,36.13,29.95,6.208419898582328,17.2,13.81,Healthcare,16.061096968294375,False
APOLLOHOSP,Mar 2015,6.531487619418989,14.369272762721778,10.561160151324085,0.6279949558638083,6.6440677966101696,0.7940857717912989,-289.0,759.0,470.0,24.0,522.0,24.0,1992.0,14.66,36.13,29.95,5.962244514178124,17.2,13.81,Healthcare,15.182029434546862,False
APOLLOHOSP,Mar 2016,3.8211382113821135,11.121951219512196,7.052821128451381,0.8505402160864346,4.311111111111111,0.8355978260869565,-291.0,888.0,597.0,17.0,522.0,35.0,2834.0,14.66,36.13,29.95,3.903185721973484,17.2,13.81,Healthcare,12.585144339928641,False
