company_id,sales,net_profit,eps,opm_percentage,net_profit_margin,borrowings,total_assets,debt_ratio,asset_turnover,sales_cagr,profit_cagr,roa,earnings_yield,operating_margin_ratio
HINDUNILVR,61896,10282,44.0,14659.0,16.611735814915342,1651,80765,2.044202315359376,0.7663715718442394,7.83,9.37,12.73076208753792,0.07108698461936151,14659.0
HEROMOTOCO,37789,3742,187.0,5235.0,9.902352536452408,588,29261,2.009500700591231,1.291445951949694,4.1,5.94,12.788353097980245,0.4948529995501336,5235.0
HINDALCO,215962,10155,45.0,23872.0,4.702216130615571,60959,252264,24.164763898138457,0.856095201852028,9.42,11.7,4.025544667491199,0.020836999101693815,23872.0
HDFCLIFE,101482,1574,7.0,531.0,1.5510139729213062,950,336755,0.2821042003830678,0.3013526154028893,19.68,12.12,0.4674021172662618,0.006897774974872391,531.0
HDFCBANK,283649,65446,84.0,-44685.0,23.07288232992184,3107503,4030194,77.10554380260602,0.0703809791786698,20.68,22.69,1.6238920508541275,0.029614065270810046,-44685.0
ITC,70866,20751,16.0,37.0,29.282025230717128,304,94071,0.3231601662574013,0.7533246165130593,7.61,9.43,22.05887042765571,0.022577822933423645,37.0
JINDALSTEL,50354,5943,58.0,20.0,11.802438733764944,17266,82771,20.85996303053001,0.6083531671720772,8.85,6.57,7.180050984040304,0.11518449378400922,20.0
JSWENERGY,11486,1725,10.0,47.0,15.018283127285391,30853,64932,47.51586274872174,0.1768927493377687,2.38,6.08,2.6566253927185364,0.08706251088281386,47.0
JIOFIN,1855,1605,3.0,84.0,86.52291105121293,0,144222,0.0,0.0128621153499466,4022.22,5077.42,1.1128676623538711,0.16172506738544476,84.0
KOTAKBANK,56237,18213,92.0,-13382.0,32.386151466116615,520374,767667,67.78642301935605,0.0732570242045053,16.15,21.0,2.372513081844081,0.16359336379963368,-13382.0
LICI,845966,40916,66.0,4.0,4.836600998148862,10,5719121,0.0001748520445711,0.147918884737707,8.16,73.18,0.7154246255674604,0.007801731984500559,4.0
JSWSTEEL,175006,8973,36.0,16.0,5.127252779904689,95258,233168,40.85380498181569,0.7505575379125781,14.84,22.9,3.848298222740685,0.020570723289487218,16.0
TECHM,51996,2397,24.0,9.0,4.60996999769213,2035,42827,4.751675344992645,1.214093912718612,20.2,5.67,5.596936512013449,0.04615739672282484,9.0
IOC,776352,43161,30.0,10.0,5.559462717942377,163401,510310,32.019948658658464,1.5213340910426996,4.84,25.25,8.457800160686642,0.0038642265364164713,10.0
IRCTC,4270,1111,14.0,34.0,26.01873536299766,42,6800,0.6176470588235293,0.6279411764705882,16.76,26.81,16.33823529411765,0.32786885245901637,34.0
IRFC,26645,6412,5.0,100.0,24.064552448864703,403111,494348,81.54397307160139,0.0538992774320923,15.33,25.61,1.2970619887204964,0.018765246762994934,100.0
TITAN,51084,3496,39.0,10.0,6.843630099444054,21648,38826,55.75645186215422,1.3157162726008345,15.85,15.38,9.004275485499408,0.07634484378670425,10.0
INDUSINDBK,45748,8950,115.0,2978.0,19.56369677362945,432404,514935,83.97254022352337,0.0888422810646003,18.63,21.39,1.7380834474254032,0.25137710938183094,2978.0
INFY,153670,26248,63.0,24.0,17.08075746730006,8804,141870,6.205681257489251,1.0831747374356806,12.93,9.75,18.501444984845282,0.04099694149801523,24.0
ICICIPRULI,90307,851,6.0,-1829.0,0.942341125272681,0,326838,0.0,0.2763050808045576,14.67,-5.11,0.26037364076392583,0.006644003233414906,-1829.0
